MSTRG.2	Zm00001d027230
MSTRG.4	Zm00001d027231
MSTRG.6	Zm00001d027232
MSTRG.9	Zm00001d027233
MSTRG.11	Zm00001d027234
MSTRG.12	Zm00001d027235
MSTRG.13	Zm00001d027252
MSTRG.14	Zm00001d027236
MSTRG.17	Zm00001d027239
MSTRG.18	Zm00001d027240
MSTRG.19	Zm00001d027242
MSTRG.20	Zm00001d027244
MSTRG.21	Zm00001d027245
MSTRG.23	Zm00001d027248
MSTRG.25	Zm00001d027249
MSTRG.26	Zm00001d027250
MSTRG.30	Zm00001d027253
MSTRG.31	Zm00001d027254
MSTRG.32	Zm00001d027256
MSTRG.33	Zm00001d027257
MSTRG.35	Zm00001d027258
MSTRG.36	Zm00001d027259
MSTRG.39	Zm00001d027267
MSTRG.40	Zm00001d027268
MSTRG.44	Zm00001d027263
MSTRG.46	Zm00001d027265
MSTRG.47	Zm00001d027266
MSTRG.48	Zm00001d027269
MSTRG.50	Zm00001d027271
MSTRG.51	Zm00001d027275
MSTRG.52	Zm00001d027276
MSTRG.52	Zm00001d027277
MSTRG.53	Zm00001d027273
MSTRG.61	Zm00001d027306
MSTRG.62	Zm00001d027308
MSTRG.63	Zm00001d027311
MSTRG.64	Zm00001d027310
MSTRG.65	Zm00001d027309
MSTRG.66	Zm00001d027307
MSTRG.67	Zm00001d027278
MSTRG.67	Zm00001d027283
MSTRG.70	Zm00001d027279
MSTRG.71	Zm00001d027280
MSTRG.72	Zm00001d027281
MSTRG.73	Zm00001d027291
MSTRG.74	Zm00001d027290
MSTRG.75	Zm00001d027285
MSTRG.76	Zm00001d027286
MSTRG.77	Zm00001d027287
MSTRG.78	Zm00001d027288
MSTRG.79	Zm00001d027293
MSTRG.80	Zm00001d027289
MSTRG.81	Zm00001d027295
MSTRG.83	Zm00001d027292
MSTRG.85	Zm00001d027296
MSTRG.86	Zm00001d027298
MSTRG.87	Zm00001d027299
MSTRG.90	Zm00001d027300
MSTRG.91	Zm00001d027302
MSTRG.92	Zm00001d027303
MSTRG.93	Zm00001d027304
MSTRG.94	Zm00001d027636
MSTRG.95	Zm00001d027637
MSTRG.97	Zm00001d027640
MSTRG.99	Zm00001d027645
MSTRG.104	Zm00001d027668
MSTRG.105	Zm00001d027667
MSTRG.106	Zm00001d027698
MSTRG.107	Zm00001d027699
MSTRG.109	Zm00001d027705
MSTRG.111	Zm00001d027703
MSTRG.113	Zm00001d027701
MSTRG.115	Zm00001d027706
MSTRG.116	Zm00001d027708
MSTRG.117	Zm00001d027671
MSTRG.118	Zm00001d027672
MSTRG.119	Zm00001d027673
MSTRG.120	Zm00001d027674
MSTRG.121	Zm00001d027680
MSTRG.122	Zm00001d027675
MSTRG.123	Zm00001d027676
MSTRG.124	Zm00001d027677
MSTRG.125	Zm00001d027678
MSTRG.126	Zm00001d027679
MSTRG.128	Zm00001d027681
MSTRG.128	Zm00001d027682
MSTRG.128	Zm00001d027684
MSTRG.130	Zm00001d027683
MSTRG.133	Zm00001d027685
MSTRG.135	Zm00001d027686
MSTRG.135	Zm00001d027687
MSTRG.136	Zm00001d027688
MSTRG.138	Zm00001d027690
MSTRG.143	Zm00001d027691
MSTRG.145	Zm00001d027694
MSTRG.146	Zm00001d027695
MSTRG.147	Zm00001d027710
MSTRG.148	Zm00001d027707
MSTRG.149	Zm00001d027709
MSTRG.150	Zm00001d027713
MSTRG.151	Zm00001d027711
MSTRG.152	Zm00001d027502
MSTRG.153	Zm00001d027499
MSTRG.154	Zm00001d027500
MSTRG.156	Zm00001d027501
MSTRG.157	Zm00001d027503
MSTRG.158	Zm00001d027504
MSTRG.160	Zm00001d027505
MSTRG.161	Zm00001d027512
MSTRG.162	Zm00001d027506
MSTRG.163	Zm00001d027508
MSTRG.164	Zm00001d027509
