"","v4_gene_model","v3_gene_model","V1"
"1","Zm00001d000001","GRMZM5G851266","MSTRG.61167"
"2","Zm00001d000002","GRMZM2G141399","MSTRG.61231"
"5","Zm00001d000004","GRMZM2G142565","MSTRG.61226"
"6","Zm00001d000005","GRMZM2G142620","MSTRG.61230"
"9","Zm00001d000006","GRMZM2G087111","Zm00001d000006"
"10","Zm00001d000009","GRMZM2G053177","MSTRG.61232"
"12","Zm00001d000016","GRMZM2G097509","MSTRG.61239"
"13","Zm00001d000017","GRMZM2G178817","MSTRG.61242"
"15","Zm00001d000020","GRMZM2G175401","MSTRG.61257"
"16","Zm00001d000021","GRMZM2G180720","MSTRG.61252"
"20","Zm00001d000023","GRMZM2G012761","MSTRG.61263"
"22","Zm00001d000025","GRMZM2G076852","Zm00001d000025"
"23","Zm00001d000027","GRMZM5G843478","MSTRG.61387"
"24","Zm00001d000028","GRMZM2G069807","MSTRG.61389"
"25","Zm00001d000030","GRMZM2G119146","MSTRG.61393"
"26","Zm00001d000032","GRMZM2G025133","MSTRG.61395"
"27","Zm00001d000034","GRMZM2G041125","MSTRG.61396"
"29","Zm00001d000035","GRMZM2G040991","MSTRG.61397"
"31","Zm00001d000037","GRMZM2G368610","MSTRG.61404"
"32","Zm00001d000038","GRMZM2G067734","MSTRG.61405"
"38","Zm00001d000039","GRMZM2G125513","MSTRG.61403"
"39","Zm00001d000041","GRMZM2G093880","MSTRG.61407"
"40","Zm00001d000042","GRMZM2G028796","MSTRG.61413"
"41","Zm00001d000044","GRMZM2G150489","MSTRG.61416"
"42","Zm00001d000045","GRMZM2G428470","MSTRG.61415"
"45","Zm00001d000046","GRMZM2G015324","MSTRG.61400"
"48","Zm00001d000052","GRMZM2G148216","MSTRG.61422"
"49","Zm00001d000053","GRMZM2G148180","MSTRG.61420"
"50","Zm00001d000055","GRMZM2G002515","Zm00001d000055"
"52","Zm00001d000058","GRMZM2G396202","Zm00001d000058"
"53","Zm00001d000060","GRMZM2G048121","MSTRG.60984"
"54","Zm00001d000061","GRMZM2G091782","MSTRG.60985"
"55","Zm00001d000065","GRMZM2G062944","MSTRG.60996"
"56","Zm00001d000066","GRMZM2G363310","MSTRG.60997"
"57","Zm00001d000070","GRMZM2G141526","MSTRG.61000"
"60","Zm00001d000071","GRMZM2G015767","MSTRG.61003"
"63","Zm00001d000085","GRMZM2G018923","MSTRG.61545"
"64","Zm00001d000087","GRMZM2G402779","MSTRG.61547"
"67","Zm00001d000092","AC206764.4_FG003","MSTRG.61550"
"68","Zm00001d000093","AC206764.4_FG001","MSTRG.61551"
"69","Zm00001d000094","GRMZM5G825902","MSTRG.61553"
"70","Zm00001d000097","GRMZM2G398795","MSTRG.62078"
"71","Zm00001d000098","GRMZM2G081359","MSTRG.62080"
